Key,Type,Desc,English,French,Russian,German,Korean,Chinese,Indonesian,Italian,Japanese,Persian,Romanian,Thai,Spanish,Turkish,Vietnamese,Polish,Arabic,Czech,Portuguese (Brazil)
Ingame/Join Game,Text,Join btn,[i2auto]Join Game,[i2auto]Rejoins une partie,[i2auto]Присоединиться к игре,[i2auto]Spiel beitreten,[i2auto]게임에 참여하기,[i2auto]加入游戏,[i2auto]Bergabung Permainan,[i2auto]Unisciti al gioco,[i2auto]ゲームに参加します,[i2auto]اضافه کردن بازی,[i2auto]Alatura-te jocului,[i2auto]เข้าร่วมเกม,[i2auto]Unete al juego,[i2auto]Oyuna katılmak,[i2auto]Tham gia trò chơi,[i2auto]Dołącz do gry,[i2auto]تاريخ لعبة,[i2auto]Připojte se hra,[i2auto]Entrar no jogo
Ingame/Join,Text,,[i2auto]Join,[i2auto]Inscrivez-vous,[i2auto]Присоединиться,[i2auto]Mitglied werden,[i2auto]회원 가입,[i2auto]参加,[i2auto]Bergabung,[i2auto]Aderire,[i2auto]参加,[i2auto]بپیوندید,[i2auto]Alăturați-vă,[i2auto]เข้าร่วมกับ,[i2auto]Únete,[i2auto]Katılmak,[i2auto]Tham gia,[i2auto]Dołącz,[i2auto]انضم,[i2auto]Připojit,[i2auto]Junte-se
Ingame/Cancel,Text,,[i2auto]Cancel,[i2auto]Annuler,[i2auto]Отмена,[i2auto]Absagen,[i2auto]취소,[i2auto]撤消,[i2auto]Membatalkan,[i2auto]Annullare,[i2auto]キャンセル,[i2auto]لغو,[i2auto]Anulare,[i2auto]ยกเลิก,[i2auto]Cancelar,[i2auto]Iptal etmek,[i2auto]Hủy bỏ,[i2auto]Anuluj,[i2auto]إلغاء,[i2auto]Zrušit,[i2auto]Cancelar
Ingame/return,Text,,[i2auto]return,[i2auto]retour,[i2auto]вернуть,[i2auto]Rückkehr,[i2auto]반환,[i2auto]回报,[i2auto]kembali,[i2auto]ritorno,[i2auto]リターン,[i2auto]برگشت,[i2auto]a reveni,[i2auto]กลับมา,[i2auto]regreso,[i2auto]dönüş,[i2auto]trở về,[i2auto]powrót,[i2auto]عودة,[i2auto]zpáteční,[i2auto]Retorna
Ingame/players,Text,,[i2auto]players,[i2auto]joueurs,[i2auto]игроки,[i2auto]Spieler,[i2auto]플레이어,[i2auto]球员,[i2auto]pemain,[i2auto]giocatori,[i2auto]プレーヤー,[i2auto]بازیکنان,[i2auto]jucători,[i2auto]ผู้เล่น,[i2auto]jugadores,[i2auto]oyuncular,[i2auto]người chơi,[i2auto]gracze,[i2auto]اللاعبين,[i2auto]hráči,jogadores
Ingame/Score,Text,,[i2auto]score,[i2auto]score,[i2auto]счет,[i2auto]Partitur,[i2auto]점수,[i2auto]得分,[i2auto]skor,[i2auto]punteggio,[i2auto]スコア,[i2auto]نمره,[i2auto]scor,[i2auto]คะแนน,[i2auto]puntuación,[i2auto]skor,[i2auto]số điểm,[i2auto]wynik,[i2auto]نتيجة,[i2auto]skóre,escore
Ingame/New User,Text,,[i2auto]New User,[i2auto]Nouvel utilisateur,[i2auto]Новый пользователь,[i2auto]Neuer Benutzer,[i2auto]새 사용자,[i2auto]新用户,[i2auto]Pengguna baru,[i2auto]Nuovo utente,[i2auto]新しいユーザー,[i2auto]کاربر جدید,[i2auto]Utilizator nou,[i2auto]ผู้ใช้ใหม่,[i2auto]Nuevo usuario,[i2auto]Yeni Kullanıcı,[i2auto]Người dùng mới,[i2auto]Nowy użytkownik,[i2auto]مستخدم جديد,[i2auto]Nový uživatel,[i2auto]Novo usuário
Ingame/Closed,Text,,[i2auto]Closed,[i2auto]Fermé,[i2auto]Закрыто,[i2auto]Geschlossen,[i2auto]폐장,[i2auto]关闭,[i2auto]Tertutup,[i2auto]Chiuso,[i2auto]クローズ,[i2auto]بسته,[i2auto]Închis,[i2auto]ปิด,[i2auto]Cerrado,[i2auto]Kapalı,[i2auto]Đóng,[i2auto]Zamknięte,[i2auto]مغلق,[i2auto]Zavřeno,[i2auto]Fechadas
Ingame/Quit,Text,,[i2auto]Quit,[i2auto]Quitter,[i2auto]Уволиться,[i2auto]Beenden,[i2auto]종료,[i2auto]放弃,[i2auto]Berhenti,[i2auto]Smettere,[i2auto]やめます,[i2auto]ترک,[i2auto]Părăsiți,[i2auto]ออกจาก,[i2auto]Dejar,[i2auto]Çıkmak,[i2auto]Thoát,[i2auto]Zamknij,[i2auto]استقال,[i2auto]Ukončete,[i2auto]Sair
Ingame/Leave the battle?,Text,,[i2auto]Leave the battle?,[i2auto]Laissez la bataille?,[i2auto]Оставьте сражение?,[i2auto]Lassen Sie die Schlacht?,[i2auto]전투를 남겨?,[i2auto]离开战场？,[i2auto]Tinggalkan pertempuran?,[i2auto]Lasciare la battaglia?,[i2auto]戦いを残しますか？,[i2auto]ترک نبرد؟,[i2auto]Lasă lupta?,[i2auto]ออกจากการต่อสู้หรือไม่,[i2auto]Deje la batalla?,[i2auto]Savaş bırakın?,[i2auto]Để lại trong trận chiến?,[i2auto]Zostaw bitwę?,[i2auto]ترك المعركة؟,[i2auto]Nechte bitvu?,[i2auto]Deixe a batalha?
